county_fips,county_name,jahr,stichtag,bevoelkerung,begriff,methode,anteil_interpoliert,quelle,bemerkung
01001,Autauga,1900,1900-06-01,17915,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01003,Baldwin,1900,1900-06-01,13194,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01005,Barbour,1900,1900-06-01,35152,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01007,Bibb,1900,1900-06-01,18498,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01009,Blount,1900,1900-06-01,23119,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01011,Bullock,1900,1900-06-01,31944,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01013,Butler,1900,1900-06-01,25761,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01015,Calhoun,1900,1900-06-01,34874,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01017,Chambers,1900,1900-06-01,32554,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01019,Cherokee,1900,1900-06-01,21096,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01021,Chilton,1900,1900-06-01,16522,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01023,Choctaw,1900,1900-06-01,18136,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01025,Clarke,1900,1900-06-01,27790,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01027,Clay,1900,1900-06-01,17099,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01029,Cleburne,1900,1900-06-01,13206,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01031,Coffee,1900,1900-06-01,20972,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01033,Colbert,1900,1900-06-01,22341,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01035,Conecuh,1900,1900-06-01,17514,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01037,Coosa,1900,1900-06-01,16144,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01039,Covington,1900,1900-06-01,15346,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01041,Crenshaw,1900,1900-06-01,19668,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01043,Cullman,1900,1900-06-01,17849,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01045,Dale,1900,1900-06-01,21189,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01047,Dallas,1900,1900-06-01,54657,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01049,DeKalb,1900,1900-06-01,23558,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01051,Elmore,1900,1900-06-01,26099,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01053,Escambia,1900,1900-06-01,11320,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01055,Etowah,1900,1900-06-01,27361,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01057,Fayette,1900,1900-06-01,14132,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01059,Franklin,1900,1900-06-01,16511,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01061,Geneva,1900,1900-06-01,19096,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01063,Greene,1900,1900-06-01,24182,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01065,Hale,1900,1900-06-01,31011,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01067,Henry,1900,1900-06-01,36147,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01071,Jackson,1900,1900-06-01,30508,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01073,Jefferson,1900,1900-06-01,140420,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01075,Lamar,1900,1900-06-01,16084,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01077,Lauderdale,1900,1900-06-01,26559,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01079,Lawrence,1900,1900-06-01,20124,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01081,Lee,1900,1900-06-01,31826,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01083,Limestone,1900,1900-06-01,22387,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01085,Lowndes,1900,1900-06-01,35651,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01087,Macon,1900,1900-06-01,23126,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01089,Madison,1900,1900-06-01,43702,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01091,Marengo,1900,1900-06-01,38315,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01093,Marion,1900,1900-06-01,14494,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01095,Marshall,1900,1900-06-01,23289,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01097,Mobile,1900,1900-06-01,62740,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01099,Monroe,1900,1900-06-01,23666,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01101,Montgomery,1900,1900-06-01,72047,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01103,Morgan,1900,1900-06-01,28820,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01105,Perry,1900,1900-06-01,31783,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01107,Pickens,1900,1900-06-01,24402,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01109,Pike,1900,1900-06-01,29172,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01111,Randolph,1900,1900-06-01,21647,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01113,Russell,1900,1900-06-01,27083,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01115,St. Clair,1900,1900-06-01,19425,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01117,Shelby,1900,1900-06-01,23684,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01119,Sumter,1900,1900-06-01,32710,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01121,Talladega,1900,1900-06-01,35773,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01123,Tallapoosa,1900,1900-06-01,29675,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01125,Tuscaloosa,1900,1900-06-01,36147,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01127,Walker,1900,1900-06-01,25162,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01129,Washington,1900,1900-06-01,11134,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01131,Wilcox,1900,1900-06-01,35631,resident population,A,0,NHGIS A00 (nominal),Volkszählung
01133,Winston,1900,1900-06-01,9554,resident population,A,0,NHGIS A00 (nominal),Volkszählung
04001,Apache,1900,1900-06-01,8297,resident population,A,0,Forstall/NBER,Volkszählung
04003,Cochise,1900,1900-06-01,9251,resident population,A,0,Forstall/NBER,Volkszählung
04005,Coconino,1900,1900-06-01,5514,resident population,A,0,Forstall/NBER,Volkszählung
04007,Gila,1900,1900-06-01,4973,resident population,A,0,Forstall/NBER,Volkszählung
04009,Graham,1900,1900-06-01,14162,resident population,A,0,Forstall/NBER,Volkszählung
04013,Maricopa,1900,1900-06-01,20457,resident population,A,0,Forstall/NBER,Volkszählung
04015,Mohave,1900,1900-06-01,3426,resident population,A,0,Forstall/NBER,Volkszählung
04017,Navajo,1900,1900-06-01,8829,resident population,A,0,Forstall/NBER,Volkszählung
04019,Pima,1900,1900-06-01,14689,resident population,A,0,Forstall/NBER,Volkszählung
04021,Pinal,1900,1900-06-01,7779,resident population,A,0,Forstall/NBER,Volkszählung
04023,Santa Cruz,1900,1900-06-01,4545,resident population,A,0,Forstall/NBER,Volkszählung
04025,Yavapai,1900,1900-06-01,13799,resident population,A,0,Forstall/NBER,Volkszählung
04027,Yuma,1900,1900-06-01,4145,resident population,A,0,Forstall/NBER,Volkszählung
05001,Arkansas,1900,1900-06-01,12973,resident population,A,0,NHGIS A00 (nominal),Volkszählung
05003,Ashley,1900,1900-06-01,19734,resident population,A,0,NHGIS A00 (nominal),Volkszählung
05005,Baxter,1900,1900-06-01,9298,resident population,A,0,NHGIS A00 (nominal),Volkszählung
05007,Benton,1900,1900-06-01,31611,resident population,A,0,NHGIS A00 (nominal),Volkszählung
05009,Boone,1900,1900-06-01,16396,resident population,A,0,NHGIS A00 (nominal),Volkszählung
05011,Bradley,1900,1900-06-01,9651,resident population,A,0,NHGIS A00 (nominal),Volkszählung
05013,Calhoun,1900,1900-06-01,8539,resident population,A,0,NHGIS A00 (nominal),Volkszählung
05015,Carroll,1900,1900-06-01,18848,resident population,A,0,NHGIS A00 (nominal),Volkszählung
05017,Chicot,1900,1900-06-01,14528,resident population,A,0,NHGIS A00 (nominal),Volkszählung
05019,Clark,1900,1900-06-01,21289,resident population,A,0,NHGIS A00 (nominal),Volkszählung
05021,Clay,1900,1900-06-01,15886,resident population,A,0,NHGIS A00 (nominal),Volkszählung
05023,Cleburne,1900,1900-06-01,9628,resident population,A,0,NHGIS A00 (nominal),Volkszählung
05025,Cleveland,1900,1900-06-01,11620,resident population,A,0,NHGIS A00 (nominal),Volkszählung
05027,Columbia,1900,1900-06-01,22077,resident population,A,0,NHGIS A00 (nominal),Volkszählung
05029,Conway,1900,1900-06-01,19772,resident population,A,0,NHGIS A00 (nominal),Volkszählung
05031,Craighead,1900,1900-06-01,19505,resident population,A,0,NHGIS A00 (nominal),Volkszählung
05033,Crawford,1900,1900-06-01,21270,resident population,A,0,NHGIS A00 (nominal),Volkszählung
05035,Crittenden,1900,1900-06-01,14529,resident population,A,0,NHGIS A00 (nominal),Volkszählung
05037,Cross,1900,1900-06-01,11051,resident population,A,0,NHGIS A00 (nominal),Volkszählung
05039,Dallas,1900,1900-06-01,11518,resident population,A,0,NHGIS A00 (nominal),Volkszählung
05041,Desha,1900,1900-06-01,11511,resident population,A,0,NHGIS A00 (nominal),Volkszählung
05043,Drew,1900,1900-06-01,19451,resident population,A,0,NHGIS A00 (nominal),Volkszählung
