kreis_ags,kreis_name,jahr,stichtag,bevoelkerung,begriff,methode,anteil_interpoliert,quelle,bemerkung
12051,"Brandenburg an der Havel, Stadt",1875,1875-12-01,34052,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12052,"Cottbus, Stadt",1875,1875-12-01,35201,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12053,"Frankfurt (Oder), Stadt",1875,1875-12-01,43491,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12054,"Potsdam, Stadt",1875,1875-12-01,61719,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12060,Barnim,1875,1875-12-01,74305,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12061,Dahme-Spreewald,1875,1875-12-01,83381,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12062,Elbe-Elster,1875,1875-12-01,89046,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12063,Havelland,1875,1875-12-01,68310,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12064,Märkisch-Oderland,1875,1875-12-01,137225,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12065,Oberhavel,1875,1875-12-01,64084,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12066,Oberspreewald-Lausitz,1875,1875-12-01,58860,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12067,Oder-Spree,1875,1875-12-01,87934,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12068,Ostprignitz-Ruppin,1875,1875-12-01,101605,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12069,Potsdam-Mittelmark,1875,1875-12-01,97780,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12070,Prignitz,1875,1875-12-01,89625,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12071,Spree-Neiße,1875,1875-12-01,101025,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12072,Teltow-Fläming,1875,1875-12-01,86834,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12073,Uckermark,1875,1875-12-01,129964,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12051,"Brandenburg an der Havel, Stadt",1890,1890-12-01,44664,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12052,"Cottbus, Stadt",1890,1890-12-01,46671,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12053,"Frankfurt (Oder), Stadt",1890,1890-12-01,50108,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12054,"Potsdam, Stadt",1890,1890-12-01,77301,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12060,Barnim,1890,1890-12-01,85169,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12061,Dahme-Spreewald,1890,1890-12-01,87772,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12062,Elbe-Elster,1890,1890-12-01,95414,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12063,Havelland,1890,1890-12-01,78689,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12064,Märkisch-Oderland,1890,1890-12-01,134950,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
12065,Oberhavel,1890,1890-12-01,75767,ortsanwesende Bevölkerung,A,0,"Amt für Statistik Berlin-Brandenburg, Historisches Gemeindeverzeichnis des Landes Brandenburg 1875 bis 2005, Tabelle 1 (Gebietsstand 31.12.2005)",
